"cond","faceid","firstfix","famfaceloc","resp","rt","id","ans","morph","block"
"f2","f2_60.jpg",0.5,"left","right",1.0614,1,"perc0","60","fam"
"m1","m1_50.jpg",0.7,"right","left",0.96738,1,"perc0","50","fam"
"m2","m2_40.jpg",0.7,"left","right",1.2613,1,"perc0","40","fam"
"f2","f2_30.jpg",0.7,"left","right",0.52825,1,"perc0","30","fam"
"m2","m2_90.jpg",0.5,"right","right",0.56161,1,"perc100","90","fam"
"m1","m1_40.jpg",0.5,"left","right",0.51154,1,"perc0","40","fam"
"f2","f2_70.jpg",0.5,"right","right",0.81164,1,"perc100","70","fam"
"m1","m1_70.jpg",0.7,"right","right",0.51152,1,"perc100","70","fam"
"m2","m2_90.jpg",0.5,"left","left",0.59516,1,"perc100","90","fam"
"f2","f2_20.jpg",0.5,"right","left",0.56177,1,"perc0","20","fam"
"m1","m1_80.jpg",0.5,"right","right",0.52816,1,"perc100","80","fam"
"m2","m2_60.jpg",0.7,"right","left",1.4174,1,"perc0","60","fam"
"m1","m1_30.jpg",0.7,"right","left",0.82909,1,"perc0","30","fam"
"m2","m2_20.jpg",0.7,"left","right",0.61158,1,"perc0","20","fam"
"f2","f2_70.jpg",0.5,"left","left",0.66174,1,"perc100","70","fam"
"m1","m1_60.jpg",0.7,"right","right",1.045,1,"perc100","60","fam"
"f2","f2_80.jpg",0.5,"right","right",0.79482,1,"perc100","80","fam"
"m2","m2_60.jpg",0.7,"left","left",1.0784,1,"perc100","60","fam"
"m1","m1_10.jpg",0.5,"right","left",0.7117,1,"perc0","10","fam"
"f2","f2_50.jpg",0.7,"right","left",0.69499,1,"perc0","50","fam"
"m2","m2_50.jpg",0.5,"left","right",0.99507,1,"perc0","50","fam"
"f2","f2_80.jpg",0.5,"left","left",0.51172,1,"perc100","80","fam"
"m2","m2_20.jpg",0.7,"right","left",0.79497,1,"perc0","20","fam"
"m1","m1_20.jpg",0.7,"right","left",0.52828,1,"perc0","20","fam"
"m2","m2_10.jpg",0.5,"right","left",0.7784,1,"perc0","10","fam"
"m1","m1_30.jpg",0.7,"left","right",0.81167,1,"perc0","30","fam"
"f2","f2_50.jpg",0.7,"left","right",0.71186,1,"perc0","50","fam"
"m2","m2_30.jpg",0.5,"right","left",0.66239,1,"perc0","30","fam"
"f2","f2_60.jpg",0.5,"right","left",1.1117,1,"perc0","60","fam"
"m1","m1_70.jpg",0.5,"left","left",0.56161,1,"perc100","70","fam"
"m2","m2_80.jpg",0.5,"right","right",0.47842,1,"perc100","80","fam"
"m1","m1_40.jpg",0.7,"right","left",0.62829,1,"perc0","40","fam"
"f2","f2_10.jpg",0.7,"left","right",0.49503,1,"perc0","10","fam"
"m1","m1_90.jpg",0.7,"left","left",0.44501,1,"perc100","90","fam"
"f2","f2_20.jpg",0.7,"left","right",0.62851,1,"perc0","20","fam"
"m2","m2_70.jpg",0.7,"right","right",0.74509,1,"perc100","70","fam"
"f2","f2_40.jpg",0.5,"left","right",0.89506,1,"perc0","40","fam"
"m1","m1_80.jpg",0.7,"left","left",0.56168,1,"perc100","80","fam"
"m2","m2_10.jpg",0.7,"left","right",0.46189,1,"perc0","10","fam"
"f2","f2_90.jpg",0.5,"right","right",0.74509,1,"perc100","90","fam"
"m2","m2_40.jpg",0.7,"right","left",0.82829,1,"perc0","40","fam"
"m1","m1_10.jpg",0.7,"left","right",0.46187,1,"perc0","10","fam"
"f2","f2_40.jpg",0.7,"right","left",0.54572,1,"perc0","40","fam"
"m1","m1_90.jpg",0.7,"right","right",0.54499,1,"perc100","90","fam"
"m2","m2_50.jpg",0.7,"right","left",1.0118,1,"perc0","50","fam"
"f2","f2_90.jpg",0.5,"left","left",0.56169,1,"perc100","90","fam"
"m1","m1_50.jpg",0.5,"left","left",1.6117,1,"perc100","50","fam"
"m2","m2_70.jpg",0.5,"left","left",0.69493,1,"perc100","70","fam"
"f2","f2_10.jpg",0.5,"right","left",0.52848,1,"perc0","10","fam"
"m2","m2_80.jpg",0.7,"left","left",0.66161,1,"perc100","80","fam"
"m1","m1_60.jpg",0.5,"left","right",0.54489,1,"perc0","60","fam"
"f2","f2_30.jpg",0.5,"right","left",0.595,1,"perc0","30","fam"
